"community","species","Observed","Predicted"
"X1","X1",0.388892373676002,0.41332974890118
"X1-X2","X1",0.388892373675673,0.413329748508812
"X1-X2","X2",0.0410971406632791,0.156270036019505
"X1-X2-X3","X1",0.388892373676996,0.413329746701595
"X1-X2-X3","X2",0.0584815175860561,0.156270036012479
"X1-X2-X3","X3",0.46354525697685,0.475503564758967
"X1-X2-X3-X4","X1",0.388892373676996,0.413329735519561
"X1-X2-X3-X4","X2",0.163131398976858,0.156270036000688
"X1-X2-X3-X4","X3",0.442146436562805,0.475503564758734
"X1-X2-X3-X4","X4",0.903682228428226,0.971102253589612
"X1-X2-X3-X4-X5","X1",0.413762819783302,0.413329735508059
"X1-X2-X3-X4-X5","X2",0.156270036025501,0.156270035994337
"X1-X2-X3-X4-X5","X3",0.369478027632692,0.475503564739718
"X1-X2-X3-X4-X5","X4",0.958001971324844,0.971095370385739
"X1-X2-X3-X4-X5","X5",0.412643626204854,0.409923325846026
"X1-X2-X3-X5","X1",0.413293128698876,0.413329746690058
"X1-X2-X3-X5","X2",0.0455780977195043,0.156270036006125
"X1-X2-X3-X5","X3",0.393511205222203,0.475503564739894
"X1-X2-X3-X5","X5",0.404850640426358,0.409923325885286
"X1-X2-X4","X1",0.388892373676996,0.413329737325994
"X1-X2-X4","X2",0.146549543793488,0.156270036007729
"X1-X2-X4","X4",0.903682228428226,0.971166859294373
"X1-X2-X4-X5","X1",0.413329752962528,0.413329737314496
"X1-X2-X4-X5","X2",0.142485491396563,0.156270036001379
"X1-X2-X4-X5","X4",0.957056106571917,0.971159976004153
"X1-X2-X4-X5","X5",0.405458300193838,0.40992332586546
"X1-X3-X5","X1",0.413099730454911,0.413329747082394
"X1-X3-X5","X3",0.403407016368179,0.475503564746473
"X1-X3-X5","X5",0.401641829805138,0.409923325891677
"X1-X4","X1",0.388892373676996,0.413329737718217
"X1-X4","X4",0.903682228428226,0.971176900369401
"X2-X3","X2",0.0204593141715709,0.156270036018563
"X2-X3","X3",0.471320041731576,0.475503564774974
"X2-X3-X4","X2",0.126757726826189,0.156270036006779
"X2-X3-X4","X3",0.449584129446718,0.475503564774859
"X2-X3-X4","X4",0.917917777090655,0.971162641587112
"X2-X3-X4-X5","X2",0.117630762326658,0.156270036000436
"X2-X3-X4-X5","X3",0.377867297357055,0.475503564755949
"X2-X3-X4-X5","X4",0.972783814240406,0.971155753694187
"X2-X3-X4-X5","X5",0.409923325927848,0.40992332586286
"X2-X3-X5","X2",0.00530221711734474,0.156270036012211
"X2-X3-X5","X3",0.402255734359378,0.475503564755936
"X2-X3-X5","X5",0.402015141311912,0.40992332590212
"X2-X4","X2",0.109896935216716,0.156270036013799
"X2-X4","X4",0.91791777709063,0.971227261047241
"X2-X4-X5","X2",0.103574923775609,0.156270036007449
"X2-X4-X5","X4",0.971800673521031,0.971220377843363
"X2-X4-X5","X5",0.40257793824401,0.409923325882288
"X2-X5","X2",6.0010447577179e-07,0.156270036019239
"X2-X5","X5",0.394910830923252,0.409923325921553
"X3","X3",0.475503564769877,0.47550356478151
"X3-X4","X3",0.475503564770482,0.475503564781333
"X3-X4","X4",0.917917777090655,0.971172687120061
"X3-X4-X5","X3",0.403407016367538,0.475503564762525
"X3-X4-X5","X4",0.971675380430442,0.971165794769271
"X3-X4-X5","X5",0.401641829804633,0.40992332586925
"X3-X5","X3",0.403407016367083,0.475503564762493
"X3-X5","X5",0.401641829804365,0.409923325908511
"X5","X5",0.394910785394213,0.409923325927944
