"community","species","Observed","Predicted"
"X1-X2-X3-X4","X1",0.457487643797028,0.456729273544533
"X1-X2-X3-X4","X2",0.115113005273215,0.115074471644584
"X1-X2-X3-X4","X3",0.12476391280125,0.13472152759341
"X1-X2-X3-X4","X4",0.453560899059276,0.446827562492821
"X1-X2-X3-X5","X1",0.448919429657522,0.456034933194519
"X1-X2-X3-X5","X2",0.10917132782456,0.115074471649567
"X1-X2-X3-X5","X3",0.125912837660135,0.134721472689605
"X1-X2-X3-X5","X5",0.60918026225987,0.608601448528367
"X1-X2-X4-X5","X1",0.444906025935898,0.455678335470325
"X1-X2-X4-X5","X2",0.114936612151293,0.115074471646611
"X1-X2-X4-X5","X4",0.440095842489483,0.440195901302537
"X1-X2-X4-X5","X5",0.609550161116983,0.608460018726554
"X1-X4-X5","X1",0.445506786087657,0.455709136634069
"X1-X4-X5","X4",0.441615349105797,0.440406652781238
"X1-X4-X5","X5",0.608295726720923,0.608463050401896
"X1-X5","X1",0.445506786087656,0.456101663468908
"X1-X5","X5",0.608295726720908,0.608635228988703
"X2-X3","X2",0.109171327824632,0.115074471663428
"X2-X3","X3",0.13472162970978,0.134721620691708
"X2-X5","X2",0.109171327824554,0.115074471665362
"X2-X5","X5",0.609487237990693,0.608802605694537
"X3-X4","X3",0.124807257695788,0.134721564941872
"X3-X4","X4",0.451586595649352,0.448428638344665
"X4-X5","X4",0.438235220078919,0.441791819818457
"X4-X5","X5",0.608295726720908,0.608632863977891
